,title,price,links
0,"Lenovo IdeaPad Flex 3i Chromebook
                                Laptop, Intel® UHD Graphics, 15.6” FHD Display, Intel Pentium N6000, 8GB RAM, 128GB SSD,
                                1920x1080 px, Touchscreen, Chrome OS, Abyss Blue  ",$399.99 ,https://amazon.com//sspa/click?ie=UTF8&spc=MToxMjU4NTk4NjI4MjczMjQ5OjE3MjcwMDA4MjY6c3BfYXRmOjMwMDE3MjEyNTE4MjAwMjo6MDo6&url=%2FLenovo-Chromebook-Graphics-1920x1080-Touchscreen%2Fdp%2FB0CWB3QTGF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2VQO2RIC01X4O%26dib%3DeyJ2IjoiMSJ9.TN_TEIq1oiAucKI29paoQdVN2TEbMC3_tnZasqfWuyTysjfYTKDFWtNqTNB0k9BBhAuQ4_ihkYNEqQ4muw4hv9ZBYepXGms9ruPGyKaljCS7oVQI4299acthFnhD2HBygjVBtRa730gvl6j4JIqIDHsMyYlhRIPelHMgvnpIrECK466nvlnBmQ2VHWbsOh5eNEZ6j669ti2-3KQqbFrR2FvzkGS8c1zOmkO2RyYnOe8.RGIpehvwLtFn_cYQGTadz2uY3S0xPsHevXek6XJUgrc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727000826%26sprefix%3Dl%252Caps%252C806%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9  ",$849.99 ,https://amazon.com//i7-13620H-Processor-GeForce-Display-ANV15-51-73B9/dp/B0CMRGBXM9/ref=sr_1_29?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-29
2,"Lenovo IdeaPad Slim 3i - 2024 - Lightweight Laptop - Rapid Charge Boost - 14"" FHD IPS Display - 16GB Memory - 512GB SSD Storage - Intel® Core™ i7-13620H - Arctic Grey  ",$648.83 ,https://amazon.com//Lenovo-IdeaPad-Slim-Lightweight-i7-13620H/dp/B0D5G1J9DV/ref=sr_1_30?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-30
3,"ASUS Zenbook Duo Laptop, Dual 14” OLED 3K 120Hz Touch Display, Intel Evo Certified, Intel Core Ultra 9 185H CPU, Intel Arc Graphics, 32GB RAM, 1TB SSD, Windows 11, Inkwell Gray, UX8406MA-PS99T  ","$1,699.00 ",https://amazon.com//ASUS-Zenbook-Certified-Graphics-UX8406MA-PS99T/dp/B0CRD6PJDF/ref=sr_1_31?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-31
4,"Acer Nitro 16 Gaming Laptop | AMD Ryzen 7 7840HS OctaCore CPU | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | WiFi 6E | RGB Backlit KB | AN16-41-R4CY  ",2 capacities,https://amazon.com//OctaCore-GeForce-Display-Backlit-AN16-41-R4CY/dp/B0CY3SS4VL/ref=sr_1_32?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-32
5,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red  ",4 capacities,https://amazon.com//HP-Portable-Microsoft-Quad-Core-Processor/dp/B0CPGKT77T/ref=sr_1_33?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-33
6,"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-12650H, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B12VE-2023US  ",$881.27 ,https://amazon.com//MSI-Thin-144Hz-Gaming-Laptop/dp/B0CXV8YGLV/ref=sr_1_34?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-34
7,"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey  ",$274.56 ,https://amazon.com//ASUS-Chromebook-Anti-Glare-1366x768-CM1402CM2A-DS44/dp/B0CJS1399P/ref=sr_1_5?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.TN_TEIq1oiAucKI29paoQdVN2TEbMC3_tnZasqfWuyTysjfYTKDFWtNqTNB0k9BBhAuQ4_ihkYNEqQ4muw4hv9ZBYepXGms9ruPGyKaljCS7oVQI4299acthFnhD2HBygjVBtRa730gvl6j4JIqIDHsMyYlhRIPelHMgvnpIrECK466nvlnBmQ2VHWbsOh5eNEZ6j669ti2-3KQqbFrR2FvzkGS8c1zOmkO2RyYnOe8.RGIpehvwLtFn_cYQGTadz2uY3S0xPsHevXek6XJUgrc&dib_tag=se&keywords=laptop&qid=1727000826&sprefix=l%2Caps%2C806&sr=8-5
8,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver  ",7 capacities,https://amazon.com//HP-Display-i3-1125G4-Processor-Windows/dp/B0C3RNRB8W/ref=sr_1_35_mod_primary_new?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=l%2Caps%2C806&sr=8-35
9,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver  ",3 capacities,https://amazon.com//HP-Portable-Student-Business-Quad-Core/dp/B0CPKS65P5/ref=sr_1_36?crid=2VQO2RIC01X4O&dib=eyJ2IjoiMSJ9.CsJHhBzeAB5WsipPOYy73hNvC7BK3PoVUtN0_yq2Z8gihpJCWo3jUbxskhkBwa-23XVxjBvG9P_aJFFHY8eAnkR9vMsL0ZBQu2PHqpQl125avDykdvqL9Woz85w3e_ejIg-oBnrgIM5Y9RNmPBcLr1slHye1LE2O6lL1p20ETWRwCY-JOBV-kCec0jdQZWNgx3qWYVlHqaGIiLpAZHDE2ktBiurm1wHSLEJ5w2OGUMs.lIg28GF80cJEY2yUp1P8ZAE5Vav0eZW-3c2RdCC1HU0&dib_tag=se&keywords=laptop&qid=1727000843&sprefix=l%2Caps%2C806&sr=8-36
